algorithm,input_type,n,time_ms,max_depth,comparisons,swaps
MergeSort,random,1000,0.062,7,10377,-1
QuickSort,random,1000,0.098,7,16135,9984
Select,random,1000,0.179,5,9246,3220
MergeSort,sorted,1000,0.021,7,3956,-1
QuickSort,sorted,1000,0.072,7,17921,11197
Select,sorted,1000,0.027,5,8023,3280
MergeSort,reversed,1000,0.039,7,10300,-1
QuickSort,reversed,1000,0.074,7,20375,11869
Select,reversed,1000,0.030,5,9073,2964
MergeSort,duplicates,1000,0.044,7,9696,-1
QuickSort,duplicates,1000,0.022,4,5067,2031
Select,duplicates,1000,0.074,5,3922,1252
MergeSort,random,10000,0.696,11,127103,-1
QuickSort,random,10000,0.721,9,247529,154535
Select,random,10000,0.431,6,98366,34563
MergeSort,sorted,10000,0.131,11,59248,-1
QuickSort,sorted,10000,0.461,9,249686,152944
Select,sorted,10000,0.274,6,85013,35814
MergeSort,reversed,10000,0.175,11,93648,-1
QuickSort,reversed,10000,0.471,9,251824,152645
Select,reversed,10000,0.245,6,94437,31826
MergeSort,duplicates,10000,0.309,11,121620,-1
QuickSort,duplicates,10000,0.118,3,51052,20026
Select,duplicates,10000,0.132,6,43534,13604
MergeSort,random,100000,6.781,14,1639119,-1
QuickSort,random,100000,9.089,11,3271153,2090620
Select,random,100000,2.948,8,1021918,363673
MergeSort,sorted,100000,1.454,14,744016,-1
QuickSort,sorted,100000,4.806,12,3240450,2033580
Select,sorted,100000,1.359,8,880636,372953
MergeSort,reversed,100000,1.872,14,1208816,-1
QuickSort,reversed,100000,4.425,12,3206478,2037708
Select,reversed,100000,1.491,8,961304,327634
MergeSort,duplicates,100000,3.436,14,1561859,-1
QuickSort,duplicates,100000,1.414,3,529358,259575
Select,duplicates,100000,1.328,8,424830,134622
MergeSort,random,1000000,95.224,17,20223037,-1
QuickSort,random,1000000,118.644,14,38093260,24304293
Select,random,1000000,38.704,9,10334929,3689361
MergeSort,sorted,1000000,24.833,17,8952320,-1
QuickSort,sorted,1000000,73.103,15,38906472,24547411
Select,sorted,1000000,12.471,9,8929820,3790647
MergeSort,reversed,1000000,24.544,17,15117824,-1
QuickSort,reversed,1000000,67.738,14,37203416,24008814
Select,reversed,1000000,16.503,9,9694602,3311849
MergeSort,duplicates,1000000,41.033,17,19202764,-1
QuickSort,duplicates,1000000,12.427,4,4997716,1998410
Select,duplicates,1000000,12.543,9,3716213,1221167
ClosestPair,random,1000,0.510,10,550,-1
ClosestPair,random,10000,4.458,13,7742,-1
ClosestPair,random,100000,51.629,17,96631,-1
